English,Russian,Level,Topic,POS,Example,Example_ru,Freq,Test_Example,Test_Example_ru
unforeseen,"непредвиденный, непредусмотренный, неожиданный",B2,others,adjective,unforeseen circumstances,непредвиденные обстоятельства,21894.0,Consider always having some funds to the side to buy an unforeseen downturn,"Подумайте о том, что следует всегда иметь некоторые средства в стороне, чтобы выдержать непредвиденный спад."
victorious,победоносный,B2,others,adjective,a victorious athlete,победоносный спортсмен,21894.0,But memory retains the victorious matches,"Но в памяти остаются матчи, которые выигрываешь."
wizard,"колдун, специалист своего дела",B2,others,noun,a powerful magician,могущественный волшебник,21894.0,But their sworn enemy evil wizard Gargamel strongly disagrees with this,Хотя их заклятый враг - колдун Гаргамель -категорически с этим не согласен.
avail,"воспользоваться, пользоваться, использовать",B2,others,verb,avail oneself of,воспользоваться,21893.0,avail oneself of,воспользоваться
lure,"приманка, блесна, наживка",B2,others,verb,lure someone into a trap,приманить кого-то в ловушку,21893.0,But they may not know why that lure is attractive,"Но, возможно, они не знают, почему эта приманка так привлекательна."
ounce,"унция, чуточка",B2,others,noun,an ounce of prevention,унция предотвращения,21893.0,One gold ounce will always be exactly one gold ounce,"В то же время, одна унция золота всегда останется одной унцией."
rang,звонил,B2,others,verb,rang the doorbell,позвонил в дверь,21893.0,As he fed them he rang a bell,"Когда он хотел есть, то звонил в колокольчик."
resilient,"упругий, эластичный, гибкий",B2,others,adjective,resilient economy,устойчивая экономика,21893.0,And yet more people had become resilient than not,"И все же больше людей стали более устойчивыми, чем нет."
spared,"пощадил, пощадили, избавлены от",B2,others,verb,spared no expense,не жалеть средств,21893.0,spared no expense,не жалеть средств
speculate,"спекулировать, размышлять, гадать",B2,others,verb,to speculate on stock market,размышлять о фондовом рынке,21893.0,I can't speculate on that,«Я не могу спекулировать на эту тему.
succeeding,"последующий, следующий, следование",B2,others,adjective,succeeding generations,последующие поколения,21893.0,succeeding generations,последующие поколения
tearing,разрывание,B2,others,verb,tearing up a letter,разрывать письмо,21893.0,They're still tearing my plane apart,Они до сих пор рвут мой самолет на куски.
affirm,утверждать,B2,others,verb,I affirm my commitment.,Я подтверждаю свою приверженность.,21893.0,But I can not affirm or deny it,"Я не могу ни отрицать, ни утверждать [этого]."
casually,случайно,B2,others,adverb,He spoke casually about his plans.,Он разговаривал небрежно о своих планах.,21893.0,I don't draw firm conclusions casually,Я не случайно не делаю исчерпывающих выводов.
disappearing,исчезновение,B2,others,verb,The magician made the rabbit disappear.,Магикан сделал исчезнуть кролика.,21893.0,Unfortunately there is no chance of negative emotions disappearing,"К сожалению, нет ни малейших шансов на исчезновение отрицательных эмоций."
discard,отбрасывать,B2,others,verb,to discard old clothes,выбрасывать старую одежду,21893.0,"Sailing should cover and advertise larger athletes than others, and not discard them","Парусный спорт должен охватывать и рекламировать и более крупных атлетов, чем остальные, а не отбрасывать их."
foul,"отвратительный, грязный",B2,others,adjective,foul smell,зловоние,21893.0,If you have to do foul,"Ты не я, если должен что-то сделать - делай."
glimpse,проблеск,B2,others,noun,catch a glimpse of,увидеть мельком,21893.0,"Pythagoras, who brought his wisdom from India, left to posterity a glimpse into this truth","Пифагор, принесший свою мудрость из Индии, передал потомству проблеск этой истины."
intolerable,"невыносимый, нестерпимый, несносный",B2,others,adjective,an intolerable situation,неприемлемая ситуация,21893.0,I find this whole event intolerable,"Если честно, я считаю этот прием невыносимым."
negligible,"незначительный, ничтожный, пренебрежимо малый",B2,others,adjective,negligible impact on the environment,незначительное влияние на окружающую среду,21893.0,Impact: 1 negligible; 3 moderate; 5 critical,Воздействие: 1. незначительное; 3. умеренное; 5. критическое.
ordinarily,"обычно, как правило, обыкновенно",B2,others,adverb,I ordinarily go to bed early.,Я обычно ложусь спать рано.,21893.0,I ordinarily go to bed early.,Я обычно ложусь спать рано.
precede,"предшествовать, предварять",B2,others,verb,to precede someone in line,стоять перед кем-то в очереди,21893.0,"Remember, PR should precede advertising","Особенно если учесть, что PR должен предшествовать рекламе."
reluctant,неохотный,B2,others,adjective,reluctant to try new things,неохотный попробовать новое,21893.0,I fit in as a reluctant warrior,Я вёл себя там как безупречный воин.
signify,означать,B2,others,verb,to signify a change,означать изменение,21893.0,"For him, this will signify defeat","Просто потому, что для него это будет означать поражение."
soften,"смягчить, смягчать, смягчаться",B2,others,verb,Soften the butter before using.,Размягчить масло перед использованием.,21893.0,Soften the butter before using.,Размягчить масло перед использованием.
stupidity,"тупость, глупость, тупоумие",B2,others,noun,His stupidity cost him the job.,Его глупость стоила ему работы.,21893.0,His stupidity shows in everything he does,"Его тупость видна во всём, что он делает."
irritated,раздраженный,B2,others,adjective,She looked irritated by his constant interruptions.,Она выглядела раздраженной из-за его постоянных прерываний.,21893.0,But that is not all that irritated me,Меня раздражает даже не это все.
agony,страдание,B2,others,noun,in agony,в муках,21893.0,I was in agony for months,"Фактически, я был в агонии несколько месяцев."
backing,"поддержка, помощь",B2,others,noun,financial support,финансовая поддержка,21893.0,Please note that backing a crowdfunded project is not the same as preordering,"Обратите внимание, что поддержка краудфандингового проекта - это не то же самое, что предварительный заказ."
classify,классифицировать,B2,others,verb,to classify data,классифицировать данные,21893.0,Before we can classify this as terrorism..,"Прежде, чем мы можем классифицировать это как терроризм..."
endlessly,"бесконечно, без конца, до бесконечности",B2,others,adverb,They argued endlessly.,Они спорили бесконечно.,21893.0,They argued endlessly.,Они спорили бесконечно.
enormously,чрезвычайно,B2,others,adverb,enormously grateful,очень благодарный,21893.0,Her books were and still are enormously popular throughout the world,Её книги были и до сих пор остаются чрезвычайно популярными во многих странах мира.
enrich,"обогатить, обогащать, обогатиться",B2,others,verb,enrich your knowledge,обогатить свои знания,21893.0,enrich your knowledge,обогатить свои знания
fictional,"вымышленный, фиктивный",B2,others,adjective,fictional character,вымышленный персонаж,21893.0,Her goal is to combine the real life and fictional world,"Моя цель состоит в том, чтобы совместить реальную жизнь и вымышленный мир."
shatter,разбить вдребезги,B2,others,verb,The glass shattered into pieces.,Стекло разбилось на кусочки.,21893.0,We are working to shatter these myths,"Мы работаем над тем, чтобы развеять эти мифы."
surpass,"превосходить, превышать, превзойти",B2,others,verb,to surpass expectations,превзойти ожидания,21893.0,"Hell, I want to surpass you","Но, черт возьми, я постараюсь превзойти их."
unfold,"разворачиваться, развернуться, развиваться",B2,others,verb,to unfold a map,развернуть карту,21893.0,to unfold a map,развернуть карту
complication,сложность,B2,others,noun,medical condition,медицинское состояние,21892.0,Another complication occurs because the rolling stock keeps crossing borders,"Еще одна сложность возникает вследствие того, что подвижной состав постоянно пересекает границы."
consolidate,"консолидировать, закрепить, укрепить",B2,others,verb,to consolidate power,укрепить власть,21892.0,to consolidate power,укрепить власть
counterpart,"коллега, аналог, партнер",B2,others,noun,He is my professional counterpart.,Он мой профессиональный аналог.,21892.0,He is my professional counterpart.,Он мой профессиональный аналог.
creatively,творчески,B2,others,adverb,think creatively,думать креативно,21892.0,We can respond creatively to these challenges,Мы можем и должны творчески ответить на эти вызовы.
dilute,разбавлять,B2,others,verb,dilute the solution,разбавить раствор,21892.0,You can dilute alcohol with water (1: 3 ratio) or add ice to it,Можно разбавлять алкоголь водой (соотношение 1:3) или добавлять в него лед.
distortion,искажение,B2,others,noun,audio distortion in music,искажение звука в музыке,21892.0,This eliminates all visual noise and color distortion,В результате чего устраняются все визуальные шумы и искажение цвета.
gunpowder,порох,B2,others,noun,gunpowder explosion,взрыв пороха,21892.0,I should switch back to gunpowder T,"Мне опять надо перейти на порох ""Т""."
overboard,за борт,B2,others,adverb,go overboard with compliments,переборщить с комплиментами,21892.0,Seems he fell overboard and drowned,"Кажется, он свалился за борт и утонул."
replenish,"пополнять, восполнять",B2,others,verb,replenish the supplies,пополнить запасы,21892.0,It was adopted to replenish the state budget,"Придуман он был для того, чтобы пополнять бюджет государства."
unnecessarily,"излишне, слишком",B2,others,adverb,He spent unnecessarily on luxury items.,Он потратил ненужно на роскошные вещи.,21892.0,"However, it will never be unnecessarily aggressive","Тем не менее, он никогда не будет излишне агрессивным."
unworthy,недостойный,B2,others,adjective,an unworthy opponent,недостойный противник,21892.0,"This damaging treaty, unique in the history of mankind, is unworthy and unacceptable for me","«Такой наносящий ущерб договор, уникальный в истории человечества, для меня недостойный и неприемлемый."
wit,"остроумие, смекалка, сообразительность",B2,others,noun,a quick and clever humor,быстрый и умный юмор,21892.0,His wit got reflected in the playing style of his guitar,Его остроумие отразилось на игровом стиле его гитары.
alteration,"изменение, перемена",B2,others,noun,make an alteration,сделать изменение,21892.0,Our apologies for this program alteration,Мы просим некого извинения за изменение в программе.
annoyance,"раздражение, беспокойство",B2,others,noun,She expressed her annoyance.,Она выразила свое раздражение.,21892.0,Your annoyance is your repressed anger,Ваше раздражение - это подавленный гнев.
compliment,"комплимент, похвала",B2,others,verb,compliment someone's outfit,похвалить чей-то наряд,21892.0,Then give yourself one compliment every day,"Поэтому один совет - делайте себе один комплимент в день, но каждый день."
eagerly,"охотно, с энтузиазмом, с готовностью",B2,others,adverb,She eagerly awaited the results.,Она с нетерпением ждала результатов.,21892.0,These are Warsaw pearls eagerly photographed by tourists,"Это настоящие варшавские ""жемчужины"", охотно фотографируемые туристами."
eventual,"возможный, потенциальный",B2,others,adjective,eventual outcome,окончательный результат,21892.0,The machine automatically calculates your eventual winnings,"Система автоматически рассчитает, каким будет наш возможный выигрыш."
gauge,измерять,B2,others,verb,to gauge someone's reaction,оценить реакцию кого-либо,21892.0,Hopefully it is just my gauge,"Уж надеюсь, что это всего лишь мой бзик."
halfway,на полпути,B2,others,adverb,meet halfway,встретиться пополам,21892.0,"I am halfway, he said","Мы только на полпути , - сказал он."
originality,оригинальность,B2,others,noun,The artist's originality impressed everyone.,Оригинальность художника впечатлила всех.,21892.0,The recommended originality is 70-75%,Рекомендуемая оригинальность статьи - 70 - 75%.
outweigh,"перевешивать, преобладать, перевесить",B2,others,verb,The benefits outweigh the risks.,Преимущества перевешивают риски.,21892.0,I strongly believe our mutual interests can outweigh our political differences,"Я твердо верю в то, что наши взаимные интересы могут перевесить политические разногласия."
predominant,"преобладающий, доминирующий, господствующий",B2,others,adjective,predominant factor,преобладающий фактор,21892.0,But such views were not predominant,Тем не менее такие взгляды не стали преобладающими.
reconsider,"пересматривать, пересмотреть, переосмыслить",B2,others,verb,I need to reconsider my decision.,Мне нужно пересмотреть свое решение.,21892.0,We should reconsider what you do,"Мы должны пересмотреть то, что мы делаем."
renew,"возобновлять, возобновить, возобновиться",B2,others,verb,to renew a subscription,продлить подписку,21892.0,The United States should also renew its support for wide-ranging multilateral institutions,США должны также возобновить поддержку широкомасштабных многосторонних институтов.
reversal,"откат, отмена, аннулирование",B2,others,noun,a sudden change or complete change,внезапное изменение или полное изменение,21892.0,We have also seen a reversal in commodity prices,Мы также видим изменение цен на продукты.
snapped,"сделал, сорвался, щелкнул",B2,others,verb,She snapped at him.,Она рявкнула на него.,21892.0,She snapped at him.,Она рявкнула на него.
spectacle,представление,B2,others,noun,spectacle of fireworks,зрелище фейерверка,21892.0,This is the spectacle I beheld,"Вот о чем спектакль, как мне показалось."
suitably,соответственно,B2,others,adverb,dress suitably for the occasion,одеваться соответственно случаю,21892.0,While I think you to be suitably notified,"А значит, считается, что Вы надлежащим образом уведомлены."
superstition,"суеверие, предрассудки",B2,others,noun,belief in luck or magic,вера в удачу или магию,21892.0,"Thanks, lanto, no superstition","Спасибо, Йанто, я могу обойтись без суеверий."
tremendously,"чрезвычайно, очень, крайне",B2,others,adverb,She improved tremendously in her studies.,Она значительно улучшилась в учебе.,21892.0,This will help tremendously in my next job,"Это, безусловно, очень поможет в моей будущей работе»."
unpopular,непопулярный,B2,others,adjective,an unpopular opinion,непопулярное мнение,21892.0,The most unpopular winner ever may very likely win again,"Таким образом, самый непопулярный президент США может с большой вероятностью снова победить."
adversity,"невзгоды, несчастье, трудности",B2,others,noun,overcome adversity,преодолеть трудности,21892.0,overcome adversity,преодолеть трудности
catalogue,каталог,B2,others,noun,online shopping catalogue,онлайн-каталог для покупок,21892.0,Regular updates of the catalogue are foreseen,"Предполагается, что этот каталог будет обновляться на регулярной основе."
dissatisfied,"недовольный, неудовлетворенный",B2,others,adjective,I am dissatisfied with the service.,Я недоволен сервисом.,21892.0,So people who were dissatisfied left,"Однако нашлись и те, кто остался недовольным."
generously,"щедро, обильно",B2,others,adverb,She donated generously to the charity.,Она щедро пожертвовала на благотворительность.,21892.0,Glad you generously share with us,И своей радостью они щедро делятся с нами.
plunged,"погрузился, упали, упал",B2,others,verb,Stock market plunged after the announcement.,Фондовый рынок рухнул после объявления.,21892.0,Stock market plunged after the announcement.,Фондовый рынок рухнул после объявления.
proposition,предложение,B2,others,preposition,in front of,перед,21892.0,Let's presume that this proposition is true,"В самом деле, допустим, что это предложение является истинным."
proverb,"пословица, притча, поговорка",B2,others,noun,Actions speak louder than words.,Дела говорят громче слов.,21892.0,There's an old proverb that says you can't choose your family,"Есть старая поговорка о том, что семью не выбирают."
smashed,разбитый,B2,others,verb,He smashed the window.,Он разбил окно.,21892.0,I smashed my own car window,Я разбил(а) стекло собственной машины.
anew,"снова, заново",B2,others,adverb,start again,начать снова,21891.0,"Meanwhile, each administration gets blamed anew for the failure","Тем не менее, сегодня каждая администрация заново получает обвинения за эту неудачу."
enclosure,"корпус, вольер, ограждение",B2,others,noun,animal enclosure at the zoo,вольер для животных в зоопарке,21891.0,animal enclosure at the zoo,вольер для животных в зоопарке
hesitation,"нерешительность, неуверенность",B2,others,noun,She hesitated before answering.,Она колебалась перед ответом.,21891.0,Karen wanted to tell the children and overcame her husband Jim's early hesitation,"Карен хотела рассказать обо всем детям, а также преодолеть изначальную нерешительность по этому поводу своего мужа Джима."
phantom,фантом,B2,others,noun,phantom pain,фантомная боль,21891.0,Still people complain that sometimes the phantom rusty trains supposedly scares them,"До сих пор люди жалуются на то, что иногда фантом ржавой электрички якобы пугает их."
spur,"стимулировать, подстегнуть, побудить",B2,others,verb,to spur someone on,подбодрить кого-то,21891.0,to spur someone on,подбодрить кого-то
adversary,противник,B2,others,noun,political adversary,политический противник,21891.0,The only outcome could be that your adversary changes his behavior,"Единственным итогом может стать лишь то, что ваш противник изменит свое поведение."
counteract,противодействовать,B2,others,verb,counteract the effects of,противодействовать эффектам,21891.0,"However, treatment can reverse or counteract these effects","Тем не менее, лечение может помочь обратить или противодействовать этим последствиям."
daring,смелый,B2,others,adjective,a daring adventure,смелое приключение,21891.0,The most daring of them finally spoke to me,"Наконец, самый смелый из них заговорил со мной."
despise,презирать,B2,others,verb,to despise someone's actions,презирать чьи-то действия,21891.0,"Enemies will despise you, if you look sloppy","Ведь враги будут презирать тебя, если ты будешь выглядеть неаккуратно."
hopelessly,безнадежно,B2,others,adverb,hopelessly in love,безнадежно влюблен,21891.0,But we were now hopelessly late,"Таким образом, мы безнадежно опоздали."
interfering,вмешательство,B2,others,adjective,interfering in other's affairs,вмешательство в дела других,21891.0,This is interfering in internal politics,Потому что это и есть вмешательство во внутреннюю политику.
lessen,"уменьшить, уменьшать, сокращать",B2,others,verb,to lessen the pain,уменьшить боль,21891.0,Should wear loose clothing to lessen friction between skin and clothes,"Вам необходимо носить свободную одежду, чтобы уменьшить трение между кожей и одеждой."
narrowly,узко,B2,others,adverb,He narrowly escaped the accident.,Он едва избежал аварии.,21891.0,At the next level represent the physical space is rather narrowly interpreted,На следующем уровне представления физическое пространство уже довольно узко интерпретируется.
rehearsal,"репетиция, Генеральная репетиция",B2,others,noun,theater practice,театральная практика,21891.0,"No, I have choir rehearsal","Нее, у меня еще репетиция в хоре."
tentative,пробный,B2,others,adjective,a tentative plan,предварительный план,21891.0,"This list is tentative, and not exhaustive","Этот перечень носит ориентировочный, а вовсе не исчерпывающий характер."
tighten,"затягивать, подтягивать, затянуть",B2,others,verb,to tighten a screw,затянуть винт,21891.0,"You can only tighten your seat belt, grab the armrests and try to remember everything the stewardess said","Вы можете только затянуть ремень безопасности, схватиться за подлокотники и попытаться вспомнить все, что говорила стюардесса."
unfairly,"несправедливо, незаслуженно, неоправданно",B2,others,adverb,treated unfairly,быть обращенным несправедливо,21891.0,But she stands unfairly in her shadow,И до сих пор несправедливо остается в его тени.
unsuccessfully,"неудачно, безуспешно, небезуспешно",B2,others,adverb,He attempted unsuccessfully to fix it.,Он безуспешно пытался починить это.,21891.0,May 1916 unsuccessfully attacked by German submarine,27 июня 1916 года безуспешно атаковал немецкую подводную лодку.
vault,хранилище,B2,others,noun,bank vault,банковское хранилище,21891.0,They made a doomsday vault without knowing it,"Они, сами не зная, сделали хранилище судного дня."
vicinity,окрестность,B2,others,noun,in the vicinity,вблизи,21891.0,We know he called from this vicinity,"Мы знаем, что он звонил из этого района."
affirmation,утверждение,B2,others,noun,I received an affirmation of my hard work.,Я получил подтверждение своей тяжелой работы.,21891.0,That 1992 affirmation retains its full validity,Это утверждение 1992 года в полной мере сохраняет свою актуальность.
assortment,"выбор, ассортимент",B2,others,noun,a wide assortment of books,широкий ассортимент книг,21891.0,We continue seeing good demand for almost all assortment of our diamond products,Мы по-прежнему наблюдаем хороший спрос практически на весь ассортимент нашей алмазной продукции.
creator,"творец, создатель, автор",B2,others,noun,The creator of the artwork.,Создатель произведения искусства.,21891.0,The creator and the created are inseparably intertwined,"Таким образом, творец и его творение, действительно, неразрывно связаны."
displeasure,"неудовольствие, недовольство, досада",B2,others,noun,expressing dissatisfaction or annoyance,выражение недовольства или раздражения,21891.0,People began expressing their displeasure online,Они тут же начинают высказать свое недовольство в Интернете.
inappropriately,"неуместно, нецелесообразно",B2,others,adverb,He behaved inappropriately at the party.,Он вел себя неподобающе на вечеринке.,21891.0,You hope they don't grow inappropriately into a cancer,"Вы надеетесь, что они не будут неуместно расти, образуя рак."
interruption,"прерывание, прекращение",B2,others,noun,Sorry for the interruption.,Извините за прерывание.,21891.0,"If unset, the interruption may be all day","Если это невозможно, прерывание может быть в любое время суток."
knowledgeable,"осведомленный, знающий, информированный",B2,others,adjective,a knowledgeable expert in history,знающий эксперт в истории,21891.0,You seem like a knowledgeable guy,"Должно быть, вы действительно выглядите, как знающий человек."
persuaded,убежденный,B2,others,verb,She persuaded him to go.,Она убедила его пойти.,21891.0,I thought I had persuaded him,"Мне даже показалось, что я убедил его."
precaution,"предосторожность, мера предосторожности, осторожность",B2,others,noun,take precautions,принять меры предосторожности,21891.0,"But this precaution was not helpful, the author's name becomes known","Но эта предосторожность не помогла, имя автора становится известно."
slam,"захлопывать, захлопнуть, захлопнуться",B2,others,verb,to slam the door,захлопнуть дверь,21891.0,I wanted to slam it behind me and lock it,"Я хотел захлопнуть ее за собой, закрыть на ключ."
usefulness,"полезность, полноценность, целесообразность",B2,others,noun,The usefulness of this tool is undeniable.,Полезность этого инструмента неоспорима.,21891.0,"As problems with these schemes emerged, however, their usefulness was reconsidered","Однако, когда стали возникать проблемы с этими планами, их целесообразность была подвергнута повторному анализу."
cannon,"пушка, орудие c-",B2,others,noun,firing a cannon,выстрел из пушки,21890.0,We want our cannon to bust apart,"Нам нужно, чтобы наша пушка разлетелась на части."
embody,"воплощать, олицетворять, воплотить",B2,others,verb,to embody an idea,воплощать идею,21890.0,"But in reality, no one can really embody those ideals",Но на самом деле никто не может реально воплотить эти идеалы в жизнь.
endorse,"одобрять, одобрить, утверждать",B2,others,verb,endorse a product,поддерживать продукт,21890.0,All 25 members must endorse the constitution,"Все 25 стран, входящие в Союз, должны одобрить Конституцию."
honorary,почетный,B2,others,adjective,honorary degree,почетная степень,21890.0,Varda won an honorary Oscar in 2017,Варда получила почетный «Оскар» в 2017 году.
inquisitive,любопытный,B2,others,adjective,an inquisitive mind,любопытный ум,21890.0,It must be a very literate and inquisitive virus,"Он перехватывает радиозаписи, должно быть, это очень образованный и любопытный вирус."
intrigue,интрига,B2,others,verb,intrigue someone with a mystery,заинтриговать кого-то загадкой,21890.0,Such is the intrigue and mystery,В этом и заключается вся интрига и загадка.
mediocrity,"посредственность, бездарность, заурядность",B2,others,noun,The team's mediocrity disappointed the fans.,Среднечастотное использование,21890.0,Ugliness and mediocrity does exactly the opposite,А уродство и посредственность делают с точностью до наоборот.
rattle,"погремушка, стук, хрип",B2,others,verb,to rattle someone's nerves,сбивать с толку,21890.0,to rattle someone's nerves,сбивать с толку
reiterate,повторять,B2,others,verb,to restate or repeat,повторять или перефразировать,21890.0,"So, to reiterate to you","Для того, чтобы их повторить, вам."
renamed,переименованный,B2,others,verb,The file was renamed.,Файл был переименован.,21890.0,It was renamed the Fourth Army,Её же тогда и переименовали в 4-ю армию.
shoved,"толкнул, засунул, сунул",B2,others,verb,He shoved me aside.,Он оттолкнул меня в сторону.,21890.0,He shoved me aside.,Он оттолкнул меня в сторону.
stake,"доля, акций, ставка",B2,others,verb,to stake a claim,заявить права,21890.0,to stake a claim,заявить права
ungrateful,неблагодарный u-,B2,others,adjective,an ungrateful child,неблагодарный ребенок,21890.0,"I feel guilty, and ungrateful",Это заставило меня почувствовать себя виноватым и неблагодарным.
unthinkable,"немыслимый, невообразимый, невероятный",B2,others,adjective,an unthinkable decision,немыслимое решение,21890.0,It is just an unthinkable horror,А то ведь это просто немыслимый ужас получается.
wrath,гнев,B2,others,noun,incurred the wrath of,привлечь гнев,21890.0,With this he brought upon himself the wrath of heaven,Этим он навлек на себя гнев небес.
cautiously,осторожно,B2,others,adverb,She cautiously approached the edge.,Она осторожно подошла к краю.,21890.0,Proceed cautiously while trimming the trees,Но ты встаешь и осторожно перешагиваешь через деревья.
considerate,"внимательный, тактичный, деликатный",B2,others,adjective,He is a considerate friend.,Он заботливый друг.,21890.0,We will provide the most considerate service immediately,Мы предоставим самый внимательный сервис немедленно.
continual,"постоянный, непрерывный, континуальный",B2,others,adjective,continual rain,постоянный дождь,21890.0,The only way to avoid surgery is continual nutrition monitoring,"Пожалуй, единственным вариантом обойтись без хирургического вмешательства, может быть постоянный контроль за питанием."
decisively,решительно,B2,others,adverb,She spoke decisively.,Она говорила решительно.,21890.0,He appears to be acting decisively and quickly,"Однако он, судя по всему, намерен действовать решительно и быстро."
diversion,отвлечение внимания,B2,others,noun,a diversion from reality,отвлечение от реальности,21890.0,What we need's a diversion,"Что нам нужно, так это ложный маневр."
hesitate,"колебаться, поколебаться, заколебаться",B2,others,verb,She hesitated before answering.,Она колебалась перед ответом.,21890.0,"For traders, these hidden points represent invisible support/resistance zones where prices will hesitate and/or reverse","Для трейдеров эти спрятанные отметки представляют собой невидимые зоны сопротивления (поддержки), у которых цена может колебаться и, или разворачиваться."
immersed,погруженный,B2,others,adjective,immersed in a book,погруженный в книгу,21890.0,Never again naive and so immersed,"Никогда ещё наивность, не была такой серьёзной..."
inscription,надпись,B2,others,noun,ancient inscription on the wall,древняя надпись на стене,21890.0,The court concluded that the inscription Cheap pharmacy,"Суд пришел к выводу, что надпись «Дешевая аптека."
quotation,цитата,B2,others,noun,She shared an inspiring quotation.,Она поделилась вдохновляющей цитатой.,21890.0,The previous quotation is also from that book,Эта цитата тоже из этой книги.
refine,"усовершенствовать, улучшать, облагораживать",B2,others,verb,to refine a skill,оттачивать навык,21890.0,"Sure I can still refine and adapt his system, but modeling gave me a head start","Конечно я могу еще усовершенствовать и адаптировать его систему, однако моделирование дало мне возможность быстрого старта."
resourceful,"находчивый, изобретательный, изворотливый",B2,others,adjective,a resourceful person,универсальный человек,21890.0,I have a resourceful friend named Cisco,У меня есть один находчивый друг по имени Циско.
satisfactorily,"удовлетворительно, неудовлетворительно",B2,others,adverb,He completed the task satisfactorily.,Он успешно завершил задание.,21890.0,But can this system satisfactorily exist without gold - is not proven,Но может ли эта система удовлетворительно существовать без золота - отнюдь не доказано.
speedily,быстро,B2,others,adverb,He finished the race speedily.,Он закончил гонку быстро.,21890.0,"Dairy goods, in particular milk, will sour speedily","Все мы знаем, что молочные продукты, в частности молоко, быстро портится."
suitability,"пригодность, годность, приспособленность",B2,others,noun,suitability for the job,пригодность для работы,21890.0,Both parents were examined for racial suitability before acceptance,Оба родителя были исследованы на расовую пригодность перед принятием.
summon,призывать,B2,others,verb,to summon a meeting,созывать собрание,21890.0,I can't just summon her,"Я не могу просто ""призвать"" ее."
surveyed,"опрошенных, обследованных, опросили",B2,others,verb,surveyed the participants' opinions,опросил мнение участников,21890.0,surveyed the participants' opinions,опросил мнение участников
wedge,клин,B2,others,noun,a wedge of cheese,кусок сыра,21890.0,But the double wedge can be a difficult shape to understand what's going on,"Но двойной клин может быть сложной формой, чтобы понять, что происходит."
whereabouts,"местонахождение, местопребывание, местоположение",B2,others,noun,I don't know his whereabouts.,Я не знаю его местонахождения.,21890.0,"Throughout 2003, his whereabouts were unknown",На протяжении всего 2003 года его местонахождение оставалось неизвестным.
calamity,"стихийное бедствие, большое несчастье",B2,others,noun,The earthquake caused a calamity.,Землетрясение вызвало бедствие.,21890.0,It seems that a similar calamity may not recur,"Похоже, что подобная катастрофа более не повторится."
endorsement,одобрение,B2,others,noun,celebrity endorsement,реклама с участием знаменитости,21890.0,The endorsement of aid for trade was welcomed,"Можно только приветствовать одобрение инициативы ""помощь в интересах торговли""."
newsletter,"информационный бюллетень, бюллетень, газета",B2,others,noun,Subscribe to our newsletter.,Подпишитесь на нашу рассылку.,21890.0,Subscribe to our newsletter.,Подпишитесь на нашу рассылку.
powerfully,"мощно, сильно, могущественно",B2,others,adverb,He spoke powerfully at the conference.,Он говорил мощно на конференции.,21890.0,Those living powerfully need captain's chairs,"Тем, кто сильно живет, нужны капитанские кресла."
ballast,"балласт, опыт, убеждения",B2,others,noun,ship's stability,устойчивость судна,21889.0,And when we drop the ballast overboard we climb,"И когда мы сбрасываем балласт за борт, вы поднимаемся вверх."
correlate,"коррелировать, соотноситься, связать",B2,others,verb,to correlate data,сопоставлять данные,21889.0,to correlate data,сопоставлять данные
encyclopedia,энциклопедия,B2,others,noun,consulting an encyclopedia,консультирование энциклопедии,21889.0,No encyclopedia could have coped with it,Ни одна энциклопедия мира не могла с ней тягаться.
lengthen,"удлинять, удлиняться, удлинить",B2,others,verb,to lengthen a skirt,удлинить юбку,21889.0,It might actually lengthen our lives,Это может на самом деле удлинить нашу жизнь.
mock,"издеваться над, высмеивать, насмехаться над",B2,others,verb,to mock someone's appearance,издеваться над внешностью кого-либо,21889.0,to mock someone's appearance,издеваться над внешностью кого-либо
